Name,P,q,M1,M2,R1,R2,L1,L2,T1,T2,E_Type
DG Sct,6.7999,0.27,2.15,0.58,2,2.8,23.99,4.827080627,8800,5120,SD
DG Lup,0.473772,0.3,2.05,0.62,2,3.8,16.98,5.894184714,8600,4620,SD
DG Gem,3.13152,0.44,2.4,1.05,2.2,1.95,38.02,3.367286688,9700,5607,SD
DG Com,0.986615,0.28,1.45,0.41,1.6,1.75,7.24,1.581790867,7220,4900,SD
DF Peg,14.6987,0.45,1.65,0.74,1.75,2.25,9.12,2.691534804,17000,6350,SD
DF Lyr,0.577128,0.22,1.45,0.3,1.6,3,7.24,3.673660833,7220,4620,SD
DF Hya,0.3305978,0.25,1.33,0.33,1.45,1.1,4.68,0.6249688,6750,4900,SD
DF DRA,5.60545,0.68,2.89,1.97,3.24,3.51,74.13,17.85,9460,6360,SD
Delta Lib,2.3274,0.35,4.7,1.7,4.12,3.86,120.2264435,7.762471166,9400,4900,SD
del Pic,1.672541,0.16,2.15,0.34,2,4.1,23.99,4.092234327,8800,4060,SD
DE Sge,2.872067,0.23,2.15,0.49,2,2,16.98,4,8600,5780,SD
DE Sct,0.443758,0.34,1.3,0.44,1.4,3.15,4.17,4.050211068,6670,4620,SD
DE Per,8.8478,0.7,2.4,1.7,2.5,6.3,38.02,2.691534804,17000,6350,SD
DE HYA,4.22768,0.51,5.29,2.71,3.9,6.74,218.97,107.24,11300,7180,SD
DE Car,3.71306,0.3,2.4,0.72,2.2,3.2,38.02,7.46025429,9700,5340,SD
DD Per,2.94661,0.55,1.9,1.05,1.9,3,12.3,8.334189889,8100,5670,SD
DD MON,0.568012,0.4,5,2,2.62,2.98,64.48,6.71,10160,5410,SD
DD Her,5.643329,0.2,1.45,0.29,1.6,2.2,7.24,3.244447593,7220,5230,SD
DD Gem,3.80208,0.3,1.9,0.57,1.9,2.75,12.3,4.656224138,8100,5120,SD
DD Dra,0.784,0.14,1.9,0.26,1.9,3.6,12.3,6.6938807,8100,4900,SD
DD Car,1.44272,0.37,1.9,0.7,2.2,2.55,12.3,6.5025,8100,5780,SD
DD Aqr,0.7206335,0.15,2.05,0.3,2,3.65,16.98,2.761422145,8600,3900,SD
DC VEL,1.17338,0.55,1.54,0.85,1.91,2.54,16.79,0.52,5920,3930,SD
CZ Sge,2.348202,0.28,2.15,0.6,2,3.05,23.99,5.250966269,8800,5010,SD
CY Pup,5.92359,0.3,1.55,0.46,1.65,2.65,8.32,3.627143304,7400,4900,SD
CY Per,3.09835,0.14,1.65,0.23,1.75,3.3,9.12,9.324288285,7590,5560,SD
CY Cha,0.444,0.35,1.35,0.47,1.5,1.15,5.13,0.53982405,6820,4620,SD
CY Cep,1.6458435,0.2,4.95,1,3.5,3.1,589,2.691534804,17000,6350,SD
CY Ara,3.01464,0.12,1.95,0.23,1.9,3,13.49,8.334189889,8250,5670,SD
CX Pup,2.661303,0.07,2.8,0.2,2.4,4.85,72,18.5933709,10700,5450,SD
CX Gem,2.1636985,0.22,2.05,0.45,2,1.95,16.98,1.964003191,8600,4900,SD
CX CMa,0.954608,0.17,1.9,0.32,1.9,3.6,12.3,2.686284932,8100,3900,SD
CX Cha,0.3604,0.34,1.9,0.64,1.9,4.6,12.3,6.726098573,8100,4340,SD
CX Cen,3.01692,0.32,2.15,0.69,2,2.7,23.99,6.241878934,8800,5560,SD
CX Car,3.34717,0.39,1.45,0.57,1.6,1.35,7.24,1.327764985,7220,5340,SD
CX Aql,0.5559862,0.45,1.25,0.56,1.37,1.06,3.63,0.888150135,6550,5450,SD
CW Pup,6.049785,0.27,1.65,0.45,1.75,1.8,9.12,1.994864953,7590,5120,SD
CW Gem,1.678148,0.32,1.45,0.46,1.6,1.05,1.35,1.020938261,5930,5670,SD
CW Cas,0.3188449,0.24,1.9,0.45,1.9,1.9,12.3,1.660441805,8100,4760,SD
CW Car,1.97398,0.22,2.11,0.46,2.07,2.26,23.99,4.037304759,8800,5450,SD
CW Aqr,0.542909,0.26,2.15,0.56,2,3.75,23.99,2.914805698,8800,3900,SD
CV Sct,5.25581,0.13,1.65,0.21,1.75,4.25,9.12,13.15926202,7590,5340,SD
CV Gem,1.848381,0.16,1.45,0.23,1.6,3.55,7.24,9.181431122,7220,5340,SD
CV CAR,14.4149,0.68,2.88,1.96,2.34,4.6,31,28.43,8950,6230,SD
CV Boo,0.847,0.6,2.12,1.27,2.15,2.94,22.64,15.06,8500,7170,SD
CU Tau,0.41222,0.3,2.8,0.84,2.7,4.9,72,11.04354785,10700,4760,SD
CU Pup,3.33742,0.18,1.65,0.3,1.75,1.55,9.12,1.75031845,7590,5340,SD
CU Peg,3.8802376,0.26,2.15,0.56,2,1.95,23.99,2.548969416,8800,5230,SD
CU Hya,0.7190774,0.34,2.15,0.73,2,2.4,23.99,7.056854179,8800,6081,SD
CU Gem,3.030008,0.5,1.8,0.9,1.85,2,11.22,2.454708916,9700,6280,SD
CU Cnc,2.771,0.47,2.15,1.01,2.64,5.56,46.87,34.66,9330,5780,SD
CU CMa,0.6589195,0.32,2.15,0.69,2,2.7,23.99,6.75069381,8800,5670,SD
CU Car,4.10112,0.38,2.4,0.91,2.2,4.4,38.02,14.10454327,9700,5340,SD
CS Per,24.256,0.4,3.85,1.55,3,5,302,4.677351413,6280,6750,SD
CR Tau,0.681346,0.28,2.8,0.8,2.4,2.2,72,4.481942118,10700,5670,SD
CR Del,0.71363,0.22,2.15,0.47,2,4.4,23.99,3.541287599,8800,3780,SD
CR CrA,0.4081666,0.28,2.15,0.6,2,3.6,23.99,5.290071599,8800,4620,SD
CR Aqr,0.5144953,0.4,2.05,0.82,2.5,6.7,9.12,6.035460738,7590,3500,SD
CQ Sct,2.550086,0.48,2.05,0.98,2,4,16.98,16,8600,5780,SD
CQ Ori,2.74016,0.18,2.15,0.39,2,2.35,23.99,4.023364679,8800,5340,SD
CQ Hya,1.1029227,0.31,2.15,0.67,2,2.05,23.99,3.32186805,8800,5450,SD
CM Cep,1.8589265,0.21,2.05,0.43,2,2.8,16.98,4.049384621,8600,4900,SD
CL Sct,1.638566,0.35,2.05,0.72,2,1.9,16.98,1.864576337,8600,4900,SD
CL Cep,3.78568,0.3,2.15,0.65,2,3.15,23.99,6.109273918,8800,5120,SD
CL Aur,1.2443645,0.12,1.9,0.23,1.9,4.4,12.3,10.9281061,8100,5010,SD
CK Per,2.37275,0.32,2.15,0.69,2,2.6,23.99,6.76,8800,5780,SD
CK Mus,8.985,0.45,2.4,1.1,2.2,2.3,38.02,3.630780548,6280,6550,SD
CK Mon,2.057022,0.28,2.15,0.6,2,3.4,23.99,5.970776303,8800,4900,SD
CK Gem,1.412916,0.37,2.4,0.9,2.2,2.05,38.02,4.2025,9700,5780,SD
CK Dra,4.994511,0.28,2.4,0.67,3.1,5,38.02,18.21351145,9700,5340,SD
CK CMa,1.092208,0.45,1.65,0.74,1.75,2.3,9.12,2.732301613,7590,4900,SD
CI Pup,1.65792,0.32,2.4,0.77,2.2,2.75,38.02,7.5625,9700,5780,SD
CI Eri,3.38288,0.3,1.33,0.4,1.45,1.75,4.68,1.88557837,6750,5120,SD
CI CMa,2.954455,0.12,2.05,0.25,2,1.5,16.98,2.083547472,8600,5670,SD
CI Car,2.81849,0.26,2.15,0.56,2,2.45,23.99,5.139489479,8800,5560,SD
CI Aur,1.87005216,0.69,2.4,1.63,1.07,2.19,38.02,4.106539857,9700,5560,SD
CH Sge,3.459303,0.2,1.9,0.38,1.9,2.5,12.3,4.553377863,8100,5340,SD
CH Nor,3.241743,0.42,2.2,0.92,2.1,4,23.99,13.69959711,8800,5560,SD
CH Mon,6.922312,0.16,1.45,0.23,1.6,3.55,7.24,9.181431122,7220,5340,SD
CH Hya,0.346546,0.16,2.05,0.33,2,4,16.98,4.460728496,8600,4200,SD
CH Cha,0.4394,0.14,2.4,0.34,2.5,3.45,38.02,4.295748948,9700,4480,SD
CH Aur,5.009838,0.23,2.05,0.47,2,1.9,16.98,2.222673605,8600,5120,SD
CG Vel,3.685,0.3,1.55,0.46,1.65,1.2,8.32,1.04909826,7400,5340,SD
CG Pup,1.04957,0.31,2.25,0.7,2.1,3,30.9,7.114054122,9300,5450,SD
CG Lac,0.8193938,0.37,1.95,0.72,1.9,2.25,16.98,4.001655444,8600,5450,SD
CG Cyg,0.631,0.2,2,0.4,1.5,2,15.84893192,1.905460718,9400,4800,SD
CG Cyg,0.6311,0.2,2,0.4,1.5,2,15.84893192,1.905460718,9400,4800,SD
CG Cha,0.37652,0.25,1.33,0.33,1.45,1.5,4.68,0.715204243,6750,4340,SD
CF Tuc,2.79765,0.21,2.15,0.45,2,2.3,23.99,3.853979023,8800,5340,SD
CF TAU,2.75589,0.6,2.81,1.69,2.7,3.17,58.63,22.88,9770,7120,SD
CF Sco,0.4835616,0.14,1.9,0.26,1.9,4,12.3,6.530952591,8100,4620,SD
CF Pup,7.64556,0.21,2.4,0.5,2.2,2.7,38.02,4.488446144,9700,5120,SD
CF Lac,4.707666,0.13,1.65,0.21,1.75,4.25,9.12,14.2775114,7590,5450,SD
CE Peg,0.64202,0.23,2.15,0.5,2,2.15,23.99,3.653857242,8800,5450,SD
CE Nor,21.248566,0.6,2.8,1.7,2.4,6.35,72,2.454708916,9700,6280,SD
CE Leo,0.303429,0.18,1.9,0.34,1.9,3.1,12.3,4.420178877,8100,4760,SD
CD Vul,0.6837452,0.17,1.4,0.24,1.58,0.89,7.24,1.2,5600,5860,SD
CD Lyr,4.832198,0.13,1.65,0.21,1.75,4.25,9.12,13.15926202,7590,5340,SD
CD Eri,2.876728,0.35,2.37,0.83,2.19,3.57,38.02,10.9124997,9700,5560,SD
CD Car,2.96756,0.33,2.25,0.74,2.1,2.1,30.9,3.905255567,9300,5607,SD
CC SER,0.516,0.47,2.58,1.2,1.9,2.44,20.54,2.57,8950,4700,SD
CC Peg,0.60563,0.27,2.4,0.65,2.2,1.75,38.02,5.12861384,6180,6820,SD
CC Mon,1.401385,0.2,1.75,0.35,1.8,2.9,10,4.74717832,7760,5010,SD
CC Her,1.7340179,0.25,2.37,0.59,2.18,2.27,38.02,3.754096126,9700,5340,SD
BZ Vel,1.262417,0.4,2.15,0.85,2,4.9,23.99,12.4012404,8800,4900,SD
BZ Mon,3.451804,0.2,1.9,0.38,1.9,2.4,12.3,4.196393038,8100,5340,SD
BZ Leo,0.269722,0.26,2.15,0.56,2,3.7,23.99,2.837595734,8800,3900,SD
BY Vel,3.45537,0.52,1.36,0.71,1.5,1.5,7.24,1.77851353,7220,5450,SD
BY DEL,5.01709,0.86,1.17,1.01,2.7,2.01,16.41,7.89,7110,6850,SD
BX Vel,1.344807,0.46,2.4,1.1,2.2,1.95,38.02,3.8025,9700,5780,SD
BX Peg,0.2804,0.4,3.2,1.3,2.4,2.6,37.15352291,4.786300923,9200,5300,SD
BX CrA,2.409662,0.45,2.4,1.1,2.2,3.9,38.02,18.63450557,9700,6081,SD
BX AND,0.611012,0.1,3.2,0.3,2.1,3,30.90295433,5.888436554,9400,5200,SD
BW Peg,1.58392,0.25,2.4,0.6,2.2,2.2,38.02,4.144128127,9700,5560,SD
BW Lib,0.93235,0.27,2.05,0.55,2,2.05,16.98,4.2025,8600,5780,SD
BW Leo,0.337221,0.28,1.25,0.35,1.4,3,3.63,4.648528264,6550,4900,SD
BW Lac,12.108,0.34,2.8,0.95,2.4,3.1,72,2.454708916,9700,6280,SD
BW Eri,0.6384773,0.2,2.15,0.43,2,3.85,23.99,3.60839639,8800,4060,SD
BW Dra,0.2921671,0.3,2.15,0.65,2,3.7,23.99,6.296800086,8800,4760,SD
BW Del,2.423114,0.35,2.4,0.85,2.2,3.4,38.02,10.7048039,9700,5670,SD
BW Boo,3.332821,0.4,2.15,0.86,2.4,4,23.99,11.65664733,8800,5340,SD
BW AQR,6.71969,0.54,8.94,4.83,3.91,5.15,987.6,136.88,16470,8760,SD
BV Lyr,1.8296477,0.31,2.15,0.67,2,3.1,23.99,7.001273801,8800,5340,SD
BV Her,3.515911,0.21,1.9,0.4,1.9,2.5,12.3,4.553377863,8100,5340,SD
BV Dra,0.3500671,0.34,1.9,0.64,1.9,4.6,12.3,6.726098573,8100,4340,SD
BU Mus,5.42,0.13,2.05,0.27,2,3.2,16.98,6.30475837,8600,5120,SD
BU DRA,1.91417,0.45,4.7,2.13,5.04,9.96,292.83,179.42,10680,6720,SD
BU CMa,3.70043,0.24,1.9,0.45,1.9,2.75,12.3,4.656224138,8100,5120,SD
BS Gem,1.05035,0.3,2.15,0.65,2,3.1,23.99,6.441971357,8800,5230,SD
BS Del,2.97751,0.52,2,1.07,2,2.3,16.98,6.073238405,8600,5983,SD
BS CrA,11.36545,0.12,2.05,0.25,2,2,16.98,4.168693835,6280,6670,SD
BS CMa,0.5599411,0.25,1.45,0.36,1.6,1.55,7.24,0.584865733,7220,4060,SD
BS Cas,0.4404832,0.28,2.15,0.6,2,3.65,23.99,5.438038494,8800,4620,SD
BS Car,0.292506,0.19,1.42,0.27,1.57,3.65,6.17,6.127766191,7020,4760,SD
BR Vel,7.72461,0.3,2.4,0.72,2.2,2.55,38.02,5.758259484,9700,5607,SD
BR Cyg,1.3325642,0.46,1.86,0.86,2.11,2.17,12.3,4.7089,8100,5780,SD
BR Cep,3.1677136,0.2,2.25,0.45,2.1,2.15,30.9,3.957899228,9300,5560,SD
BQ SGR,8.01954,0.6,2.81,1.69,2.7,3.17,58.63,22.88,9770,7120,SD
BQ Peg,1.57485,0.3,1.8,0.56,2.2,3,12.3,7.706023376,8100,5560,SD
BQ Her,5.105836,0.14,2.05,0.29,2,3.05,16.98,5.727540501,8600,5120,SD
BQ Del,3.42658,0.22,1.7,0.37,2,2.35,9.12,4.023364679,7590,5340,SD
BQ Aqr,6.62035,0.25,2.05,0.5,2,2.75,16.98,4.656224138,8600,5120,SD
BP Vul,1.9403491,0.28,2.15,0.67,2,3.5,23.99,6.32716347,8800,4900,SD
BP UMa,1.38119,0.26,2.15,0.56,2,2.8,23.99,5.255468828,8800,5230,SD
BP Mus,3.32058,0.23,1.9,0.43,1.9,1.55,12.3,1.75031845,8100,5340,SD
BP Car,9.66492,0.4,5,2,5.2,7.5,155,3.630780548,6280,6550,SD
BO Vul,1.945869,0.44,1.43,0.63,1.6,2.52,7.24,7.37385731,7220,6000,SD
BO Vel,0.3344076,0.28,2.15,0.6,2,3.5,23.99,5.634463189,8800,4760,SD
BO Pav,19.23,0.4,3.25,1.3,2.65,4.15,155,4.168693835,6280,6670,SD
BO Her,4.272843,0.23,1.9,0.44,1.9,1.65,12.3,1.825001771,8100,5230,SD
BO Gem,4.0686,0.2,1.9,0.38,1.9,1.65,12.3,1.67624069,8100,5120,SD
BO Del,1.2876085,0.28,2.8,0.78,2.7,2.85,72,7.192843162,10700,5607,SD
BN TAU,4.2542,0.68,2.22,1.51,1.9,1.41,12.43,3.58,7900,6710,SD
BH Aps,3.652,0.2,1.9,0.38,1.9,1.65,12.3,1.983451397,8100,5340,SD
BG Nor,0.49369,0.28,4.95,1.4,3.5,4.6,589,4.677351413,6280,6750,SD
BG Leo,3.779167,0.28,3.25,0.9,2.65,4.2,155,12.85145368,12300,5340,SD
BG Del,0.56361,0.26,2.15,0.56,2,3.75,23.99,2.914805698,8800,3900,SD
BG CrA,0.4527708,0.2,1.45,0.3,1.6,1.4,7.24,0.800041692,7220,4620,SD
BG Cas,3.953548,0.16,1.65,0.26,1.75,2.85,9.12,6.420433845,7590,5450,SD
BF Vir,0.64057,0.12,2.4,0.29,2.8,3.95,38.02,3.234009309,9700,3900,SD
BF Pav,0.3056,0.19,1.45,0.28,1.6,3.4,7.24,5.317093426,7220,4760,SD
BF Dra,5.60545,0.37,2.15,0.8,2,4.05,23.99,10.09900382,8800,5120,SD
BF Del,3.76016,0.3,1.65,0.5,1.73,1.3,9.12,0.95395141,7590,5010,SD
BF CMi,1.1806866,0.31,1.25,0.39,1.4,1.1,3.63,1.036032032,6550,5560,SD
Beta Per,2.8673,0.11,2.5,0.3,2,1.4,18.62087137,1.023292992,8500,4900,SD
Bet Per,2.8673285,0.22,3.7,0.81,2.86,3.52,155,5.057569687,12300,4620,SD
BE Vul,1.552044,0.38,1.94,0.74,2,2.27,16.98,4.073112165,8600,5450,SD
BE Mus,0.3369219,0.33,2.15,0.71,2,4.7,23.99,10.16043199,8800,4760,SD
BE Dra,0.5224911,0.28,1.42,0.4,1.55,1.65,6.17,0.564306383,7020,3900,SD
BE Del,6.3091,0.2,1.45,0.29,1.6,2.8,7.24,5.711757191,7220,5340,SD
BE Cha,0.8099,0.31,2.15,0.67,2,2.95,23.99,6.340123336,8800,5340,SD
BE Cep,0.4243959,0.32,1.9,0.6,1.9,3.85,12.3,4.711606621,8100,4340,SD
BD Vir,2.548537,0.56,1.65,0.92,1.75,1.85,9.12,2.930429445,7590,5560,SD
BD Vel,13.229,0.3,2.15,0.65,2,1.7,23.99,4.677351413,6280,6750,SD
BD Mus,1.481335,0.32,1.65,0.53,1.75,1.4,9.12,1.012346155,7590,4900,SD
BD Gem,1.616727,0.59,1.45,0.86,1.6,1.75,7.24,2.62218851,7220,5560,SD
BC Mus,3.511171,0.37,1.65,0.61,1.73,1.45,9.12,1.531756313,7590,5340,SD
BC Her,3.08735,0.13,1.75,0.23,1.8,3.6,10,9.441884336,7760,5340,SD
BB Peg,0.3615021,0.22,2.05,0.45,2,3.8,16.98,4.590021899,8600,4340,SD
BB Mus,2.52223,0.36,2.05,0.74,2,2.05,16.98,2.170604448,8600,4900,SD
BB MON,0.7327,0.63,1.41,0.89,1.94,0.89,17.28,1.62,6660,5280,SD
BB Lac,3.86596,0.25,2.4,0.6,2.5,2.4,38.02,4.93185496,9700,5560,SD
BB Cep,30.1856,0.43,2.4,1,2.2,2,38.02,4.677351413,6280,6750,SD
AZ Vul,1.122655,0.2,1.75,0.35,1.8,2.8,10,4.425431395,7760,5010,SD
AZ VIR,0.349665,0.25,1.5,0.38,1.62,2.42,8.77,2.1,7840,4490,SD
AZ Vel,0.77577765,0.14,2.05,0.29,2,3.3,16.98,5.624719199,8600,4900,SD
AZ Pup,0.86737053,0.23,1.9,0.43,1.9,3.3,12.3,2.257225533,8100,3900,SD
AZ Mus,3.96977,0.13,1.9,0.25,1.9,3.6,12.3,7.979459812,8100,5120,SD
AZ CMa,4.78159,0.4,1.45,0.58,1.6,2.8,7.24,5.255468828,7220,5230,SD
AY Vul,2.4124468,0.32,2.15,0.69,2,2.85,23.99,6.420433845,8800,5450,SD
AY VEL,1.61765,0.5,2.96,1.48,1.91,2,11.79,4.25,7780,5860,SD
AY Pup,0.46896148,0.25,1.35,0.34,1.5,1.3,5.13,0.872890307,6820,4900,SD
AY Peg,2.439012,0.32,2.15,0.69,2,2.65,23.99,7.0225,8800,5780,SD
AY CrA,0.48064,0.13,2.05,0.27,2,3.95,16.98,6.368699238,8600,4620,SD
AY CMa,7.37793,0.21,2.15,0.45,2,1.85,23.99,2.294240059,8800,5230,SD
AY Aqr,0.281995,0.15,1.9,0.28,1.9,3.55,12.3,5.796597742,8100,4760,SD
AX VIR,0.702527,0.4,5,2,2.62,2.98,64.48,6.71,10160,5410,SD
AX Lac,3.4778,0.45,2.05,0.92,2,4.15,16.98,15.94839837,8600,5670,SD
AX Dra,0.5681644,0.42,2.15,0.95,2.8,3.95,23.99,14.44824419,8800,5670,SD
AX Cas,0.600376,0.37,1.1,0.41,1.2,3.95,1.35,3.798279958,5930,4060,SD
AW Vul,0.80645141,0.31,2.15,0.67,2,2.95,23.99,6.340123336,8800,5340,SD
AW Vir,0.35399695,0.16,2.05,0.33,2,3.65,16.98,4.234803792,8600,4340,SD
AW UMa,0.4387299,0.27,1.45,0.4,1.6,1.3,7.24,0.872890307,7220,4900,SD
AW Tel,1.188672,0.28,1.65,0.46,1.75,1.3,9.12,0.872890307,7590,4900,SD
AW Peg,10.6225,0.8,4.69,3.75,2.89,6.64,246.32,97.93,13530,7080,SD
AW HER,8.8009,0.11,1.8,0.2,1.62,2.06,30.64,5.11,10710,6070,SD
AW Car,6.5107,0.34,2.4,0.82,2.2,3.3,38.02,9.324288285,9700,5560,SD
AW CAM,0.771345,0.2,2,0.4,1.5,2,15.84893192,1.905460718,9400,4800,SD
AV Mon,6.947353,0.35,2.4,0.84,2.2,3.55,38.02,10.79057329,9700,5560,SD
AV HYA,0.68341,0.49,4.49,2.21,2.83,4.58,117.06,8.68,11360,4650,SD
XZ UMa,1.22232,0.5,1.45,0.72,1.6,1.4,7.24,1.96,7220,5780,SD
XZ CMi,0.5788095,0.36,1.45,0.52,1.6,1.3,7.24,1.335861274,7220,5450,SD
